,chembl_id,Predicted_Value
201,CHEMBL1578,[np.float32(5.9452147)]
202,CHEMBL3184143,[np.float32(5.78252)]
203,CHEMBL1200347,[np.float32(5.779942)]
204,CHEMBL815,[np.float32(5.752919)]
205,CHEMBL1615350,[np.float32(5.642598)]
206,CHEMBL329522,[np.float32(5.5944967)]
207,CHEMBL1200972,[np.float32(5.5502467)]
208,CHEMBL1204165,[np.float32(5.4171286)]
209,CHEMBL2107495,[np.float32(5.3217273)]
210,CHEMBL1128,[np.float32(5.146365)]
211,CHEMBL2062262,[np.float32(5.082009)]
212,CHEMBL1200469,[np.float32(4.775146)]
213,CHEMBL1200338,[np.float32(4.7730904)]
214,CHEMBL2359670,[np.float32(4.7611547)]
215,CHEMBL1314751,[np.float32(4.760251)]
216,CHEMBL1318287,[np.float32(4.520697)]
217,CHEMBL1200334,[np.float32(4.2378745)]
218,CHEMBL1201300,[np.float32(4.2068214)]
219,CHEMBL1243,[np.float32(4.065029)]
220,CHEMBL1420,[np.float32(3.81734)]
221,CHEMBL421701,[np.float32(3.2894351)]
222,CHEMBL1200701,[np.float32(nan)]
223,CHEMBL2096631,[np.float32(nan)]
224,CHEMBL3184512,[np.float32(8.149232)]
225,CHEMBL103,[np.float32(7.9599333)]
226,CHEMBL1167,[np.float32(7.574679)]
227,CHEMBL1200878,[np.float32(7.56281)]
228,CHEMBL1002,[np.float32(7.136663)]
229,CHEMBL1463345,[np.float32(7.040021)]
230,CHEMBL1201743,[np.float32(6.8365316)]
231,CHEMBL1734,[np.float32(6.7670655)]
232,CHEMBL46399,[np.float32(6.7245636)]
233,CHEMBL2403238,[np.float32(6.5616107)]
234,CHEMBL1450,[np.float32(6.551266)]
235,CHEMBL436,[np.float32(6.4352193)]
236,CHEMBL1237102,[np.float32(6.387268)]
237,CHEMBL2103822,[np.float32(6.3010607)]
238,CHEMBL1200341,[np.float32(6.251244)]
239,CHEMBL106,[np.float32(6.2347045)]
240,CHEMBL1201162,[np.float32(6.2319264)]
241,CHEMBL1201731,[np.float32(6.190088)]
242,CHEMBL312448,[np.float32(6.182306)]
243,CHEMBL1678,[np.float32(6.180042)]
244,CHEMBL701,[np.float32(6.1754313)]
245,CHEMBL956,[np.float32(6.161829)]
246,CHEMBL2105395,[np.float32(6.130273)]
247,CHEMBL1165,[np.float32(6.125066)]
248,CHEMBL1168,[np.float32(6.1036625)]
249,CHEMBL1026,[np.float32(6.081606)]
250,CHEMBL13828,[np.float32(6.066706)]
251,CHEMBL1750,[np.float32(6.0303955)]
252,CHEMBL1201347,[np.float32(6.0115404)]
253,CHEMBL28333,[np.float32(5.976845)]
254,CHEMBL29411,[np.float32(5.9696207)]
255,CHEMBL641,[np.float32(5.9266324)]
256,CHEMBL1437,[np.float32(5.876992)]
257,CHEMBL553,[np.float32(5.8351645)]
258,CHEMBL1069,[np.float32(5.795077)]
259,CHEMBL3348963,[np.float32(5.7846704)]
260,CHEMBL243712,[np.float32(5.752649)]
261,CHEMBL2105689,[np.float32(5.707643)]
262,CHEMBL1200322,[np.float32(5.7063584)]
263,CHEMBL278623,[np.float32(5.692531)]
264,CHEMBL822,[np.float32(5.6377673)]
265,CHEMBL1201190,[np.float32(5.60938)]
266,CHEMBL2104356,[np.float32(5.5773144)]
267,CHEMBL406,[np.float32(5.5704856)]
268,CHEMBL2103772,[np.float32(5.4209967)]
269,CHEMBL344159,[np.float32(5.3681674)]
270,CHEMBL3786343,[np.float32(5.3613954)]
271,CHEMBL1200974,[np.float32(5.3132544)]
272,CHEMBL1564,[np.float32(5.3056793)]
273,CHEMBL1371770,[np.float32(5.3055153)]
274,CHEMBL5315125,[np.float32(5.2828894)]
275,CHEMBL1200678,[np.float32(5.271757)]
276,CHEMBL191083,[np.float32(5.2101364)]
277,CHEMBL282724,[np.float32(5.1125727)]
278,CHEMBL1200419,[np.float32(5.07285)]
279,CHEMBL2105754,[np.float32(5.0716715)]
280,CHEMBL396778,[np.float32(5.046419)]
281,CHEMBL4085457,[np.float32(5.006411)]
282,CHEMBL673,[np.float32(4.971338)]
283,CHEMBL227875,[np.float32(4.875229)]
284,CHEMBL1705,[np.float32(4.8716884)]
285,CHEMBL1201320,[np.float32(4.791712)]
286,CHEMBL22,[np.float32(4.789852)]
287,CHEMBL3701238,[np.float32(4.776113)]
288,CHEMBL1177,[np.float32(4.638168)]
289,CHEMBL575,[np.float32(4.6000233)]
290,CHEMBL148,[np.float32(4.544337)]
291,CHEMBL70046,[np.float32(4.5419726)]
292,CHEMBL1185,[np.float32(4.504954)]
293,CHEMBL2106988,[np.float32(4.4739013)]
294,CHEMBL1624126,[np.float32(4.4168177)]
295,CHEMBL1502,[np.float32(4.406057)]
296,CHEMBL4297620,[np.float32(4.327768)]
297,CHEMBL70927,[np.float32(4.2442245)]
298,CHEMBL1255654,[np.float32(4.18846)]
299,CHEMBL405,[np.float32(4.180708)]
